position_cat_shift,goals_conceded,shots,shots_on_target,goals_counter,long_balls,passes,touches,crosses,through_balls,corners,att_obox_goal,bookings,position_cat_ls
0.0,9.0,-77.0,-9.0,-1.0,74.0,-448.0,-2297.0,-151.0,-31.0,-54.0,-2.0,6.0,1.0
0.0,-4.0,28.0,31.0,-3.0,-90.0,1314.0,1442.0,13.0,-109.0,36.0,8.0,-7.0,1.0
0.0,10.0,-85.0,-30.0,0.0,-216.0,-488.0,-849.0,-56.0,0.0,-61.0,-6.0,6.0,1.0
-1.0,0.0,-35.0,-30.0,-1.0,104.0,-802.0,103.0,38.0,-42.0,-2.0,2.0,11.0,1.0
1.0,-6.0,-14.0,-3.0,1.0,892.0,2417.0,1677.0,-92.0,28.0,-2.0,-4.0,0.0,2.0
-1.0,-2.0,-82.0,-36.0,0.0,-320.0,-1241.0,-1502.0,-122.0,-46.0,14.0,-2.0,-3.0,1.0
0.0,-6.0,161.0,66.0,3.0,-225.0,175.0,577.0,62.0,56.0,-11.0,2.0,14.0,2.0
1.0,-1.0,-79.0,-32.0,-1.0,-116.0,-181.0,-594.0,-95.0,-14.0,3.0,6.0,-15.0,2.0
0.0,4.0,45.0,8.0,3.0,-62.0,-579.0,1865.0,191.0,-11.0,32.0,-1.0,22.0,3.0
-1.0,4.0,-1.0,-12.0,-6.0,-211.0,924.0,2258.0,23.0,76.0,-47.0,-3.0,-30.0,3.0
0.0,18.0,27.0,13.0,-5.0,-229.0,-681.0,1548.0,173.0,-28.0,14.0,2.0,-2.0,3.0
-1.0,-6.0,-37.0,-28.0,1.0,-120.0,225.0,1566.0,-71.0,117.0,-44.0,-8.0,1.0,3.0
1.0,-6.0,-18.0,-14.0,3.0,26.0,444.0,102.0,-292.0,2.0,-31.0,6.0,-11.0,3.0
-1.0,17.0,44.0,20.0,-2.0,155.0,-39.0,795.0,211.0,-13.0,32.0,-1.0,6.0,2.0
1.0,-9.0,46.0,8.0,1.0,-475.0,1488.0,1479.0,-154.0,47.0,-13.0,-3.0,-16.0,3.0
-1.0,4.0,-111.0,-39.0,-2.0,568.0,-1068.0,-1109.0,77.0,-74.0,32.0,-2.0,13.0,2.0
-1.0,2.0,-71.0,8.0,3.0,200.0,99.0,-382.0,-89.0,-29.0,-61.0,0.0,-7.0,3.0
0.0,-8.0,-101.0,-30.0,-4.0,-436.0,-1762.0,-2155.0,-26.0,-4.0,7.0,0.0,0.0,3.0
-1.0,4.0,54.0,14.0,1.0,111.0,1344.0,1895.0,-19.0,11.0,25.0,4.0,3.0,3.0
0.0,-2.0,34.0,-26.0,4.0,2.0,178.0,2530.0,-120.0,-44.0,-63.0,0.0,9.0,2.0
-1.0,17.0,-59.0,-8.0,-4.0,101.0,1703.0,3507.0,189.0,105.0,10.0,-7.0,5.0,2.0
-1.0,9.0,33.0,-1.0,0.0,-402.0,-988.0,-1998.0,-34.0,-47.0,-5.0,-3.0,10.0,3.0
-1.0,-6.0,-39.0,-4.0,3.0,-349.0,249.0,632.0,-113.0,8.0,-25.0,5.0,-1.0,3.0
-1.0,19.0,22.0,0.0,0.0,-179.0,-801.0,1123.0,20.0,-36.0,-42.0,-4.0,23.0,2.0
1.0,-14.0,18.0,12.0,0.0,575.0,2767.0,2665.0,-40.0,-167.0,1.0,4.0,15.0,3.0
